task_id,task_name,seed_0_success_rate,seed_1_success_rate,seed_2_success_rate,task_mean_success_rate
0,task_0,30.00%,20.00%,10.00%,20.00%
1,task_1,70.00%,40.00%,80.00%,63.33%
2,task_2,70.00%,40.00%,70.00%,60.00%
3,task_3,90.00%,80.00%,70.00%,80.00%
4,task_4,10.00%,10.00%,0.00%,6.67%
5,task_5,80.00%,60.00%,70.00%,70.00%
6,task_6,50.00%,50.00%,90.00%,63.33%
7,task_7,10.00%,20.00%,30.00%,20.00%
8,task_8,0.00%,0.00%,0.00%,0.00%
9,task_9,50.00%,70.00%,10.00%,43.33%
overall,All Tasks Combined,-,-,-,42.67%
