alpha,repeat,overall_success,task_success_rates,exit_code,log_file,run_dir
0.02,1,0.25,task_0=0;task_1=0;task_3=0.75,0,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_1/eval.log,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_1
0.02,2,0.30,task_0=0;task_1=0.1;task_3=0.8,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_2/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_2
0.02,3,0.35,task_0=0;task_1=0.15;task_3=0.9,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_3/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.02/repeat_3
0.05,1,0.32,task_0=0;task_1=0.1;task_3=0.85,0,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_1/eval.log,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_1
0.05,2,0.28,task_0=0;task_1=0.05;task_3=0.8,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_2/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_2
0.05,3,0.28,task_0=0.05;task_1=0.05;task_3=0.75,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_3/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.05/repeat_3
0.1,1,0.27,task_0=0;task_1=0.05;task_3=0.75,0,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_1/eval.log,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_1
0.1,2,0.28,task_0=0.05;task_1=0;task_3=0.8,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_2/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_2
0.1,3,0.27,task_0=0;task_1=0;task_3=0.8,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_3/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.1/repeat_3
0.2,1,0.23,task_0=0;task_1=0;task_3=0.7,0,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_1/eval.log,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_1
0.2,2,0.27,task_0=0;task_1=0;task_3=0.8,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_2/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_2
0.2,3,0.13,task_0=0;task_1=0;task_3=0.4,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_3/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.2/repeat_3
0.3,1,0.22,task_0=0;task_1=0;task_3=0.65,0,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_1/eval.log,./outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_1
0.3,2,0.25,task_0=0;task_1=0;task_3=0.75,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_2/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_2
0.3,3,0.20,task_0=0;task_1=0;task_3=0.6,0,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_3/eval.log,outputs/week7_residual_alpha_sweep/week7_residual_alpha_sweep_20260529_133502/alpha_0.3/repeat_3
